Turks and Caicos Islands,30438.41759
Chad,719.3848752
East Asia & Pacific (IDA & IBRD countries),10023.202
Europe & Central Asia (IDA & IBRD countries),11952.68806
Togo,1012.973873
Thailand,7171.808093
Tajikistan,1188.993038
Turkmenistan,9190.671543
Latin America & the Caribbean (IDA & IBRD countries),10439.52607
Timor-Leste,1648.64729
Middle East & North Africa (IDA & IBRD countries),3827.11624
Tonga,
South Asia (IDA & IBRD),2308.719777
Sub-Saharan Africa (IDA & IBRD countries),1636.808741
Trinidad and Tobago,18332.96402
Tunisia,3895.386639
Turkiye,12985.75315
Tuvalu,5465.102807
Tanzania,1211.058594
Uganda,1014.213978
Ukraine,5181.362793
Upper middle income,10461.75262
Uruguay,22564.53246
United States of America,81695.18707
Uzbekistan,2496.107758
St. Vincent and the Grenadines,10279.49394
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,4346.768492
Vanuatu,3367.094639
World,13138.32755
Samoa,4139.029587
Kosovo,5943.125714
"Yemen, Rep.",533.3671235
South Africa,6253.161613
Zambia,1369.129365
Zimbabwe,1592.416574
